TotalCount,White,Mixed,Asian,Black,Other,2011 super output area - lower layer,mnemonic
1932,1041,79,51,724,37,Greenwich 001A,E01001690
1391,751,58,66,499,17,Greenwich 001B,E01001692
1558,683,82,95,688,10,Greenwich 001C,E01001693
1685,760,75,59,764,27,Greenwich 001D,E01001694
1206,585,71,142,381,27,Greenwich 002A,E01001687
2623,1058,146,213,1174,32,Greenwich 002B,E01001688
1443,550,79,139,652,23,Greenwich 002E,E01033739
1577,547,92,237,654,47,Greenwich 002F,E01033740
2457,1044,165,281,915,52,Greenwich 002G,E01033741
2038,593,121,144,1154,26,Greenwich 002H,E01033743
1820,748,85,112,837,38,Greenwich 002I,E01033745
1707,841,86,107,654,19,Greenwich 003A,E01001575
1739,964,73,73,596,33,Greenwich 003B,E01001576
1857,949,94,119,661,34,Greenwich 003C,E01001577
2131,1081,85,196,726,43,Greenwich 003D,E01001578
1646,912,62,131,524,17,Greenwich 003E,E01001579
1170,636,73,152,287,22,Greenwich 004B,E01001709
1413,690,86,248,364,25,Greenwich 004C,E01001711
2137,1036,113,260,675,53,Greenwich 004D,E01001712
1017,624,72,133,161,27,Greenwich 004E,E01033731
1320,832,89,142,233,24,Greenwich 004F,E01033734
1073,497,68,181,281,46,Greenwich 004G,E01033735
1125,786,61,130,124,24,Greenwich 004H,E01033736
1495,609,69,280,470,67,Greenwich 004I,E01033737
1993,879,134,220,727,33,Greenwich 005A,E01001705
1340,608,96,255,370,11,Greenwich 005B,E01001706
1595,1159,82,134,205,15,Greenwich 005C,E01001708
1694,681,85,248,637,43,Greenwich 005D,E01001710
1748,715,104,222,682,25,Greenwich 005E,E01001713
2049,657,91,783,491,27,Greenwich 006A,E01001672
1892,610,69,729,429,55,Greenwich 006B,E01001673
1973,770,92,598,463,50,Greenwich 006C,E01001674
1980,594,68,860,424,34,Greenwich 006D,E01001675
1948,816,144,485,473,30,Greenwich 006E,E01001677
2072,795,119,372,737,49,Greenwich 007B,E01001631
2319,643,109,959,566,42,Greenwich 007C,E01001632
1661,910,88,285,312,66,Greenwich 007D,E01001635
1722,714,84,510,346,68,Greenwich 007E,E01001636
1352,618,81,186,423,44,Greenwich 007F,E01033742
1845,881,82,235,613,34,Greenwich 007G,E01033744
1639,870,87,239,397,46,Greenwich 008A,E01001571
1711,1002,87,153,445,24,Greenwich 008B,E01001572
1505,803,84,263,325,30,Greenwich 008C,E01001573
1769,1012,120,135,470,32,Greenwich 008D,E01001574
2176,1039,140,276,690,31,Greenwich 009A,E01001629
1607,786,97,224,465,35,Greenwich 009B,E01001633
1714,929,88,171,490,36,Greenwich 009C,E01001634
1703,861,95,372,343,32,Greenwich 009D,E01001637
1626,660,93,398,452,23,Greenwich 011A,E01001695
1350,481,79,205,546,39,Greenwich 011B,E01001696
2094,868,120,452,611,43,Greenwich 011C,E01001697
2019,756,120,538,551,54,Greenwich 011D,E01001700
1934,512,78,334,980,30,Greenwich 011E,E01001703
1651,889,88,279,352,43,Greenwich 011F,E01001704
1692,1117,82,258,216,19,Greenwich 012A,E01001588
1604,1078,67,253,176,30,Greenwich 012B,E01001589
2040,1169,131,244,458,38,Greenwich 012C,E01001591
1979,1033,113,354,443,36,Greenwich 012D,E01001595
1777,1130,116,312,184,35,Greenwich 014A,E01001590
1718,1265,87,202,147,17,Greenwich 014B,E01001592
1638,1391,66,79,85,17,Greenwich 014C,E01001593
1937,996,129,255,522,35,Greenwich 014D,E01001594
1777,687,147,196,728,19,Greenwich 015A,E01001698
1848,1030,97,160,505,56,Greenwich 015B,E01001699
1524,968,65,107,345,39,Greenwich 015C,E01001701
1676,563,103,271,694,45,Greenwich 015D,E01001702
1693,1361,71,115,116,30,Greenwich 016A,E01001581
1532,1286,63,92,72,19,Greenwich 016B,E01001585
1491,1181,71,77,145,17,Greenwich 016C,E01001586
1890,1564,85,100,102,39,Greenwich 016D,E01001587
1667,1102,78,194,277,16,Greenwich 017A,E01001678
1519,909,88,226,240,56,Greenwich 017B,E01001683
1472,931,53,168,293,27,Greenwich 017C,E01001684
1522,1018,57,180,217,50,Greenwich 017D,E01001685
2829,1715,191,308,576,39,Greenwich 019A,E01001646
1733,1144,43,294,208,44,Greenwich 019B,E01001650
1714,1063,95,208,310,38,Greenwich 019C,E01001651
1555,1148,66,189,133,19,Greenwich 019D,E01001652
1346,923,75,83,244,21,Greenwich 020A,E01001679
1573,1196,62,152,117,46,Greenwich 020B,E01001680
1224,827,82,113,195,7,Greenwich 020C,E01001681
1333,955,81,84,179,34,Greenwich 020D,E01001682
1777,1070,122,152,414,19,Greenwich 020E,E01001686
1642,1403,51,111,60,17,Greenwich 021A,E01001580
1475,1147,50,112,128,38,Greenwich 021B,E01001582
1603,1382,64,75,74,8,Greenwich 021C,E01001583
1549,1374,61,60,46,8,Greenwich 021D,E01001584
1697,1128,85,142,299,43,Greenwich 022A,E01001645
1491,943,63,260,195,30,Greenwich 022B,E01001647
1751,1186,111,222,192,40,Greenwich 022C,E01001648
1530,1163,48,88,206,25,Greenwich 022D,E01001649
1584,1415,28,81,51,9,Greenwich 023A,E01001605
1637,1469,42,84,24,18,Greenwich 023B,E01001606
1669,1444,46,102,64,13,Greenwich 023C,E01001610
1659,1463,62,52,65,17,Greenwich 023D,E01001611
1591,1181,44,148,179,39,Greenwich 025A,E01001620
1491,1242,67,77,89,16,Greenwich 025B,E01001621
1696,1272,59,139,190,36,Greenwich 025C,E01001623
1551,1360,32,65,84,10,Greenwich 025D,E01001624
1577,1276,45,79,145,32,Greenwich 025E,E01001625
1440,1248,48,109,22,13,Greenwich 027A,E01001604
1474,1321,41,74,31,7,Greenwich 027B,E01001607
1454,1365,30,35,21,3,Greenwich 027C,E01001608
1602,1379,44,77,90,12,Greenwich 027D,E01001609
1586,1335,43,88,90,30,Greenwich 028A,E01001613
1409,1280,13,78,21,17,Greenwich 028B,E01001614
1519,1194,55,129,112,29,Greenwich 028C,E01001615
1574,1375,42,93,50,14,Greenwich 028D,E01001617
1547,1262,79,70,128,8,Greenwich 029A,E01001653
1546,1148,79,57,217,45,Greenwich 029B,E01001654
1465,1183,63,43,165,11,Greenwich 029C,E01001655
1600,1095,76,161,224,44,Greenwich 029D,E01001660
1525,1187,43,113,122,60,Greenwich 029E,E01001661
1604,1395,41,81,64,23,Greenwich 030C,E01001618
1880,1574,61,140,90,15,Greenwich 030D,E01001619
2969,2277,140,285,238,29,Greenwich 030E,E01033729
1560,1174,68,146,116,56,Greenwich 031A,E01001597
1587,1254,27,128,125,53,Greenwich 031B,E01001598
1873,1552,81,58,146,36,Greenwich 031C,E01001602
1655,1370,54,55,159,17,Greenwich 031D,E01001603
1564,1310,49,113,58,34,Greenwich 032A,E01001596
1701,1376,48,113,128,36,Greenwich 032B,E01001599
1561,1289,47,95,108,22,Greenwich 032C,E01001600
1561,1351,33,78,76,23,Greenwich 032D,E01001601
1874,1086,106,174,475,33,Greenwich 033A,E01001669
1578,1086,86,121,262,23,Greenwich 033B,E01001671
1791,810,87,279,576,39,Greenwich 033C,E01001676
1651,1037,91,180,321,22,Greenwich 033D,E01032567
1272,1065,48,54,89,16,Greenwich 034A,E01001656
1547,1245,55,90,111,46,Greenwich 034B,E01001657
1549,1156,55,131,172,35,Greenwich 034C,E01001658
1454,919,69,224,197,45,Greenwich 034D,E01001659
2493,1514,108,284,506,81,Greenwich 034E,E01033726
2334,1272,163,307,524,68,Greenwich 035A,E01001640
2567,1302,176,463,558,68,Greenwich 035B,E01033727
1226,879,49,210,72,16,Greenwich 035C,E01033728
1214,847,84,132,121,30,Greenwich 035D,E01033730
1470,756,63,399,216,36,Greenwich 036A,E01001666
1564,935,103,232,272,22,Greenwich 036B,E01001667
2269,1702,92,135,297,43,Greenwich 036C,E01001668
1053,563,100,258,111,21,Greenwich 036D,E01033732
1134,690,50,336,37,21,Greenwich 036E,E01033733
1608,1340,102,73,71,22,Greenwich 037A,E01001662
1870,1488,89,188,85,20,Greenwich 037B,E01001664
1867,1414,101,191,124,37,Greenwich 037C,E01001665
1216,870,52,184,94,16,Greenwich 037D,E01033738
1974,1045,142,224,524,39,Greenwich 038A,E01001638
1755,1292,91,133,204,35,Greenwich 038B,E01001641
1781,1556,77,51,89,8,Greenwich 038C,E01001642
2212,1618,128,206,222,38,Greenwich 038D,E01001644
1464,1218,70,82,79,15,Greenwich 038E,E01033746
